b1r2,b1r3,b1r4,b1r5,b1r7,b1r8,b6r1,b6r2,b6r3,b6r4,b6r5a,b6r5b,b6r6a,b6r6b,b6r7,b6r8,b6r9a,b6r9b,b6r9c,b6r10,b6r11,wert27,jart,exp_cap
1,40,17,1,25002,13,1,4,1,1,40,200,2, ,2,1,4, ,3,1,5,110,6,145692.46031746
1,40,19,1,25009,7,6,6,2,1,20,60,2, ,2,1,4, ,3,1,5,110,7,90994.8979591837
1,40,19,1,25009,14,1,6,2,1,40,300,2, ,2,2,4, ,3,1,5,110,6,117182.53968254
1,100,6,1,15089,6,1,6,3,1,12,600,6,3,4,2,4, ,3,4,5,110,4,128586.011904762
1,100,6,1,25091,11,4,4,1,2,60,300,6,2,1,2,1,1,4,1,5,110,5,111911.904761905
2,93,8,1,25224,14,1,4,2,2,12,100,6,1,1,2,1,3,4,4,5,127,4,145014.880952381
2,210,16,1,25304,15,1,4,2,1,72,800,5,1,2,2,1,1,1,1,5,127,5,147092.857142857
3,90,7,1,15053,9,1,4,2,1,30,90,2, ,1,1,2,1,1,1,5,51,6,130521.825396825
3,90,11,1,25033,2,6,4,2,1,30,36,2, ,1,1,3,1,1,1,3,51,6,136132.936507937
3,90,13,1,25063,5,1,4,1,1,20,80,2, ,1,1,1,1,1,4,5,51,6,137348.214285714
5,20,13,1,25002,1,1,6,3,2,24,400,6,3,1,2,4, ,3,4,5,208,5,131333.333333333
5,112,7,1,15030,1,6,6,3,2,20,120,5,2,2,2,4, ,6,1,5,208,9,124023.80952381
5,113,1,1,25059,8,1,4,2,1,36,64,5,2,2,2,1,1,1,1,5,208,4,131407.738095238
5,113,1,1,25059,10,6,4,1,1,42,150,5,2,2,2,1,1,1,1,5,208,5,146238.095238095
5,113,1,1,25059,14,1,4,2,1,18,140,5,2,2,2,1,1,1,1,5,208,5,135452.380952381
6,10,5,1,25206,15,1,4,1,1,35,40,3, , ,1,4, ,6,1,3,70,6,112053.571428571
6,30,13,1,25230,4,6,4,1,2,36,400,6,2,3,2,1,3,4,1,5,70,6,124853.174603175
6,80,9,1,25238,1,1,4,1,1,72,112,4,3,3,1,4, ,5,1,3,70,5,110571.428571429
6,80,9,1,25238,2,1,4,1,1,54,185,5,2,2,2,1,1,4,1,3,70,4,145711.30952381
6,80,9,1,25238,7,1,4,1,1,72,298,4,2,3,1,1,1,4,1,3,70,5,138142.857142857
6,80,9,1,25238,11,2,4,1,1,60,290,4,2,3,2,1,1,4,1,3,70,6,142446.428571429
6,80,9,1,25238,12,1,4,1,1,48,248,3, , ,1,1,1,4,1,3,70,6,96690.4761904762
6,80,9,1,25238,16,1,4,1,1,42,277,2, ,3,1,1,1,4,1,3,70,5,128083.333333333
8,20,13,1,25006,11,1,4,1,2,42,180,10, ,4,2,1,1,1,1,5,36,6,146407.738095238
71,31,1,1,25788,2,1,2,2,2,30,48,5,3,2,2,1,2,4,1,3,173,4,109645.833333333
71,31,1,1,25788,4,4,4,2,1,48,80,5,3,3,2,1,1,4,1,3,173,4,141065.476190476
71,31,1,1,25788,10,6,4,2,1,48,96,3, , ,2,1,2,1,1,3,173,7,141073.129251701
71,31,2,1,25815,13,3,4,1,1,50,80,5,3,2,2,1,1,1,1,1,173,5,119285.714285714
71,31,3,1,15837,1,1,4,2,1,30,150,5,3,2,2,1,2,1,1,3,173,8,139123.511904762
71,31,3,1,15837,2,1,4,3,1,35,100,5,3,2,2,1,1,1,1,3,173,6,125182.53968254
71,31,3,1,15837,14,6,4,1,1,35,80,5,2,1,2,1,2,1,2,3,173,9,98043.6507936508
71,40,6,1,25243,13,1,4,2,1,24,273,5,2,1,2,1,1,4,1,5,173,6,146645.238095238
71,51,1,1,25261,10,6,4,1,1,80,80,2, ,2,2,2,1,1,1,3,173,7,146923.469387755
71,51,8,1,26093,5,1,4,2,1,20,20,5,2,3,2,4, ,6,1,3,173,4,146101.19047619
72,10,9,1,25227,9,1,4,1,1,20,54,7,2,3,2,1,1,1,1,3,78,5,137145.238095238
72,10,15,1,25069,2,1,4,3,1,24,90,8,2,3,2,1,3,4,1,3,78,6,137547.619047619
72,10,15,1,25069,4,1,4,2,1,40,50,3, , ,1,1,1,1,1,5,78,7,133380.952380952
72,10,18,1,25100,14,1,4,2,1,16,25,5,2,3,2,1,2,4,1,1,78,6,128150.793650794
72,30,2,1,25168,2,3,4,1,1,45,23,8,1,3,2,2,1,6,1,3,78,5,123611.904761905
72,30,6,1,15188,12,4,4,1,1,48,100,5,1,2,2,1,1,1,1,3,78,6,137972.222222222
72,30,10,1,25209,15,1,4,1,1,22,150,4,2,3,1,1,1,1,1,3,78,5,132390.476190476
72,30,11,1,25267,7,1,4,1,1,33,120,3, , ,1,1,2,1,1,5,78,5,146503.80952381
72,30,11,1,25267,12,4,4,4,1,12,30,3, , ,1,2,1,1,1,5,78,6,134819.841269841
72,30,13,1,25297,13,6,4,1,1,63,0,5,3,2,1,4, ,1,1,3,78,7,134380.952380952
72,30,14,1,25311,5,1,4,2,2,25,45,4,2,3,1,4, ,6,4,5,78,4,125880.952380952
72,30,14,1,25311,13,4,4,2,1,25,48,4,2,3,1,1,2,4,1,3,78,4,142279.761904762
73,10,9,1,25104,6,6,4,1,1,40,65,4,1,2,2,1,1,1,1,5,15,4,139035.714285714
73,30,3,1,25134,11,1,5,1,1,36,36,7,3,2,2,2,1,1,1,5,15,4,120982.142857143
73,30,3,1,25137,8,1,6,1,2,30,288,5,2,1,2,1,2,4,1,3,15,4,136361.607142857
73,30,4,1,25204,16,4,5,3,2,30,120,5,1,2,2,1,3,4,1,5,15,9,100849.206349206
73,30,5,1,25143,13,1,6,2,2,24,140,7,3,2,2,2,3,4,1,5,15,5,110083.333333333
73,30,5,1,25213,16,1,4,2,1,54,325,5,1,2,2,2,1,1,1,3,15,6,110696.428571429
74,73,1,1,15099,4,6,4,2,1,18,120,2, ,2,2,4, ,3,1,5,53,5,117838.095238095
74,73,1,1,15099,5,1,3,3,2,20,216,2, ,2,1,4, ,3,1,5,53,4,143130.952380952
74,73,1,1,15099,13,6,4,1,2,22,70,5,1,2,1,4, ,3,1,5,53,5,128572.857142857
74,73,4,1,25056,14,3,4,2,1,28,36,5,2,2,2,4, ,3,1,5,53,9,147716.931216931
1,10,13,2,10036,1,1,6,2,2,24,135,6,3,1,2,4, ,3,3,5,121,9,96957.671957672
1,10,13,2,10036,4,1,6,2,2,20,450,6,3,3,2,4, ,3,1,5,121,6,145654.761904762
1,10,13,2,10036,7,1,4,1,1,44,315,5,1,4,2,4, ,3,1,5,121,6,123861.904761905
1,10,20,2,20058,15,1,4,2,1,17,200,5,3,4,2,4, ,3,4,5,121,5,146445.238095238
1,11,2,2,20912,1,1,4,3,2,60,420,9, ,3,2,4, ,5,2,5,121,5,123277.380952381
1,11,2,2,20912,3,1,6,3,2,24,300,9, ,3,2,4, ,3,2,5,121,4,119349.702380952
1,11,2,2,20912,4,1,4,1,1,57,300,9, ,3,2,3,1,1,2,5,121,5,121980.952380952
1,11,2,2,20912,5,6,6,3,2,32,400,9, ,3,2,4, ,5,4,5,121,7,98977.8911564626
1,11,2,2,20912,7,1,6,3,1,20,150,9, ,4,2,4, ,3,2,5,121,3,136650.793650794
1,11,2,2,20912,8,1,6,3,2,20,300,5,3,4,2,4, ,3,4,5,121,4,80053.5714285714
1,11,2,2,20912,10,1,6,3,2,17,80,5,1,2,2,4, ,5,2,5,121,4,118223.214285714
1,11,2,2,20912,11,1,4,1,1,60,450,8,3,3,2,4, ,5,1,5,121,3,122341.26984127
1,11,2,2,20912,14,1,4,1,1,53,320,5,3,4,2,4, ,5,2,5,121,8,66458.0357142857
1,11,8,2,20932,1,1,4,1,1,35,300,5,3,3,2,4, ,5,1,5,121,5,129397.142857143
1,11,8,2,20932,4,1,4,3,1,15,180,9, ,4,2,4, ,3,1,5,121,4,117197.916666667
1,11,8,2,20932,6,1,4,3,1,42,300,6,2,2,2,4, ,5,1,5,121,5,149688.095238095
1,11,8,2,20932,11,1,4,3,1,35,150,5,3,4,2,4, ,5,4,5,121,4,148032.738095238
1,21,5,2,20078,16,5,4,2,1,56,56,5,3,4,2,4, ,3,4,3,121,6,141807.53968254
1,21,10,2,20099,13,6,4,2,1,36,360,6,3,4,2,4, ,3,1,5,121,6,147702.380952381
1,21,10,2,20099,15,1,6,2,2,25,48,6,2,2,2,2,1,1,1,5,121,5,137547.619047619
1,22,11,2,20137,3,1,4,2,2,25,180,4,3,3,2,4, ,3,1,5,121,5,143083.333333333
1,22,11,2,20137,11,1,6,2,1,39,540,6,2,2,2,4, ,3,4,5,121,5,123630.952380952
1,23,6,2,20163,7,1,6,2,2,36,500,5,3,2,2,4, ,3,3,5,121,4,148008.928571429
1,23,6,2,20163,15,1,6,2,1,42,150,6,2,2,2,4, ,3,1,5,121,9,135365.079365079
1,23,11,2,20183,13,6,4,2,1,54,840,5,2,1,2,1,3,4,1,5,121,7,130316.666666667
1,30,2,2,10204,5,1,4,1,1,30,96,2, ,1,1,4, ,6,1,5,121,5,118728.571428571
1,30,2,2,10204,10,1,4,2,1,33,240,5,3,2,2,4, ,3,1,5,121,8,130199.404761905
1,31,1,2,20232,1,1,6,2,1,20,400,5,1,4,2,4, ,3,4,5,121,5,131217.857142857
1,31,1,2,20232,6,1,6,3,2,28,408,5,1,1,1,1,1,1,1,5,121,6,141912.698412698
1,31,1,2,20232,7,6,6,2,1,54,200,5,3,4,1,4, ,3,1,5,121,5,114311.904761905
1,31,1,2,20232,10,1,4,1,1,33,200,5,3,2,2,4, ,3,1,5,121,6,146088.293650794
1,31,1,2,20232,13,1,4,1,1,30,200,9, ,4,2,4, ,3,1,5,121,6,149235.912698413
1,31,7,2,20250,3,1,7,3,1,24,40,5,3,3,2,4, ,3,4,5,121,8,105841.517857143
1,40,14,2,20302,1,1,4,2,1,20,300,6,1,2,2,4, ,3,1,5,121,5,144166.666666667
1,50,1,2,20320,4,1,4,2,1,20,120,6,1,2,2,4, ,3,1,5,121,5,144410.714285714
1,50,1,2,20320,11,1,2,2,1,30,60,6,2,2,2,4, ,3,1,5,121,4,133733.928571429
1,50,1,2,20320,15,1,4,2,1,94,180,6,2,1,2,4, ,3,1,5,121,5,132311.904761905
1,50,2,2,10330,6,1,4,1,1,40,200,7,2,2,2,4, ,3,1,5,121,7,116590.136054422
1,50,2,2,10330,7,1,4,2,1,30,56,7,2,2,2,4, ,3,1,5,121,5,106385.714285714
1,50,2,2,10330,14,4,4,1,1,20,28,7,3,3,2,4, ,3,1,5,121,4,127625
1,50,13,2,20367,1,1,6,1,1,18,144,6,1,1,2,4, ,3,1,5,121,5,103491.904761905
1,50,13,2,20367,7,1,4,2,1,16,120,6,1,1,2,4, ,3,1,5,121,4,99295.2380952381
1,60,5,2,20398,5,1,6,2,1,35,360,2, ,3,1,4, ,3,1,5,121,7,143494.897959184
1,60,8,2,20410,11,1,6,3,1,33,150,6,1,2,2,2,1,1,1,5,121,5,93291.6666666667
1,81,2,2,10521,10,1,4,1,1,35,210,7,2,1,2,4, ,3,1,5,121,9,142497.354497355
1,81,2,2,10521,14,1,6,3,1,20,180,7,2,2,2,4, ,3,1,5,121,5,134269.047619048
1,81,7,2,20543,5,1,4,1,1,28,180,6,1,2,2,1,1,1,1,5,121,6,147358.333333333
1,82,3,2,20578,8,1,4,1,1,42,240,8,1,3,2,1,1,4,1,5,121,6,129661.706349206
1,82,4,2,20587,2,1,4,2,2,24,350,7,2,3,2,3,4,4,1,5,121,3,119496.031746032
1,82,4,2,20587,4,1,4,1,1,30,312,7,2,3,2,3,4,3,1,5,121,4,142946.428571429
1,82,4,2,20587,12,1,4,2,2,18,250,8,2,3,2,3,4,4,1,5,121,4,146574.404761905
1,90,9,2,20636,4,1,4,2,1,35,135,5,1,1,2,1,1,4,1,5,121,3,136230.158730159
1,90,9,2,20636,5,1,6,3,2,12,66,5,2,2,2,2,1,4,1,5,121,1,89011.9047619048
1,90,9,2,20636,6,1,4,4,1,20,260,5,1,1,2,1,1,4,1,5,121,2,90791.6666666667
1,100,4,2,10661,9,1,4,2,2,30,100,6,3,2,2,4, ,3,1,5,121,7,131637.585034014
1,100,4,2,10661,13,1,4,3,1,23,150,8,3,1,2,2,4,3,1,5,121,4,143894.345238095
1,100,4,2,10661,14,1,6,3,2,16,150,7,1,1,2,4, ,3,3,5,121,6,122660.714285714
1,100,4,2,10661,16,1,6,3,2,12,100,6,2,4,2,4, ,3,1,5,121,6,140272.817460317
1,100,7,2,20674,14,1,4,1,1,68,825,5,2,3,2,1,1,1,1,5,121,4,145538.69047619
1,100,13,2,20697,8,1,4,1,1,55,150,5,2,2,2,3,1,1,1,3,121,4,148113.095238095
1,100,13,2,20697,9,1,4,1,1,75,600,5,1,2,2,2,1,1,1,5,121,5,131194.047619048
1,110,13,2,20737,6,1,4,2,1,37,120,5,1,1,2,4, ,4,1,5,121,6,139861.111111111
1,110,13,2,20737,15,1,6,3,2,30,40,6,2,2,2,4, ,5,1,5,121,6,135029.761904762
1,120,9,2,20764,15,1,6,2,2,20,300,6,2,1,2,4, ,6,4,5,121,6,114432.53968254
2,92,7,2,20571,7,1,4,1,1,40,200,5,1,1,2,1,1,4,1,5,128,4,141008.928571429
2,110,10,2,20650,5,1,4,3,2,36,150,6,2,1,2,1,1,1,1,5,128,6,120863.095238095
2,160,12,2,20879,8,1,4,1,1,63,180,2, ,2,1,1,1,1,1,5,128,10,143454.761904762
2,170,1,2,20895,3,1,6,3,1,24,48,5,2,2,2,4, ,3,3,5,128,6,130982.142857143
2,220,5,2,21175,5,1,4,1,1,50,160,7,2,2,1,3,1,1,1,5,128,6,149818.452380952
2,220,5,2,21175,6,1,4,1,1,40,150,7,2,3,1,3,1,1,1,5,128,5,137057.142857143
2,220,5,2,21175,14,1,6,3,2,30,70,7,2,2,1,3,1,1,4,5,128,4,147776.785714286
2,220,7,2,11186,12,6,6,3,2,20,300,7,2,2,2,2,3,4,1,5,128,5,98620.2380952381
2,230,6,2,21205,10,1,4,2,1,20,56,4,2,2,2,1,1,4,1,5,128,6,140148.80952381
2,230,6,2,21205,12,1,4,2,1,70,360,4,2,2,1,1,3,4,1,5,128,7,148724.489795918
2,240,5,2,21228,10,6,4,2,1,35,60,7,2,1,1,1,2,4,1,5,128,3,127702.380952381
2,240,11,2,11250,7,1,4,2,1,30,40,8,2,3,1,2,2,4,1,5,128,5,115414.285714286
2,240,11,2,11250,9,1,4,2,1,30,80,8,2,3,1,2,2,4,4,5,128,5,113259.523809524
2,240,11,2,11250,10,1,4,2,1,30,120,8,2,3,1,2,2,4,1,5,128,3,146222.222222222
2,240,11,2,11250,12,6,4,2,1,35,60,8,2,3,1,2,2,4,1,5,128,4,104711.30952381
